  -0.186,  -0.061,   0.126,  -4.038,  -1.446,   0.463,   0.391,  -0.364,   0.720,   -3.997,    7.060,   40.320,    0.336,   -0.158,    0.904,   -0.213,1.4386088848114014
   0.020,  -0.052,   0.486,  -5.000,  -1.961,   0.728,   0.370,  -0.427,   0.667,   -4.449,    4.122,   38.941,    0.332,   -0.155,    0.917,   -0.156,1.4552338123321533
   0.187,  -0.137,   0.917,  -5.103,  -1.430,   1.051,   0.399,  -0.510,   0.583,   -4.937,   -1.594,   37.596,    0.309,   -0.138,    0.939,   -0.057,1.4892489910125732
   0.167,  -0.374,   1.195,  -4.355,  -1.595,   0.310,   0.420,  -0.566,   0.568,   -4.893,   -4.162,   37.352,    0.302,   -0.126,    0.945,   -0.003,1.5062298774719238
   0.192,  -0.380,   1.414,  -3.940,  -1.647,  -0.066,   0.428,  -0.629,   0.515,   -4.781,   -6.430,   37.390,    0.299,   -0.118,    0.946,    0.036,1.5216820240020752
   0.269,  -0.362,   1.600,  -3.505,  -1.449,  -0.241,   0.442,  -0.601,   0.485,   -4.664,   -8.273,   37.663,    0.297,   -0.109,    0.946,    0.072,1.5383358001708984
   0.269,  -0.241,   2.070,  -2.662,  -0.850,  -0.325,   0.478,  -0.664,   0.462,   -4.629,   -9.571,   38.001,    0.298,   -0.095,    0.945,    0.099,1.5554919242858887
   0.394,  -0.258,   2.272,  -1.486,  -0.685,   0.005,   0.428,  -0.629,   0.424,   -4.702,  -10.298,   38.403,    0.298,   -0.083,    0.944,    0.114,1.5718128681182861
   0.402,  -0.187,   2.380,  -0.746,  -0.681,   0.292,   0.449,  -0.692,   0.432,   -4.803,  -10.419,   38.625,    0.296,   -0.074,    0.945,    0.121,1.58819580078125
   0.427,  -0.101,   2.436,  -0.194,  -0.541,   0.427,   0.420,  -0.664,   0.432,   -4.907,  -10.031,   38.768,    0.293,   -0.065,    0.946,    0.121,1.6051030158996582
   0.438,  -0.090,   2.400,   0.297,  -0.340,   0.378,   0.428,  -0.601,   0.371,   -5.020,   -9.241,   38.965,    0.290,   -0.056,    0.948,    0.118,1.6215648651123047
